100,1000  10,100  1,1000  100,10000  1,10000  10,1000  10,10000  1000,10000  1,100
1   11570    5928   32406  20621     14273   23407   3798     1501       26086
2   1278     27325  21097  18362     9785    12661   5502     14132      1785
3   28258    14917  27607  7015      813     16555   9412     8350       24902
4   12686    14193  18135  29157     21696   4126    21320    6974       3839
5   23577    5246   30640  11428     883     30878   31160    25424      12062
6   22082    14974  6989   2485      24239   12802   16672    23404      12969
7   20303    4442   10009  21254     3002    12604   29482    18942      8963
8   11853    17730  19069  17073     25921   6834    17888    9522       32199
9   6775     15209  21788  6012      22145   9949    11766    28014      5758
10  16407    13329  26560  19523     470     27918   13131    32100      29345
